,data_light,data_batt,data_acce_x,data_acce_y,data_acce_z,data_temp,data_baro,data_magnx,data_magny,data_magnz,data_gyrox,data_gyroy,data_gyroz
35,0.4,76,0.158691406,-0.008789063,-0.986816406,18.87,1008.84,52.47863248,70.02148962,-522.8371184,5.729675293,-4.211425781,-6.294250488
36,0.4,76,0.219970703,0.004394531,-0.973876953,18.87,1008.81,50.07960928,71.97069597,-522.6871795,5.310058594,-4.371643066,-5.851745605
37,0.4,76,0.15234375,0.017578125,-0.973144531,18.89,1008.84,50.07960928,72.57045177,-524.3365079,6.774902344,-4.386901855,-4.440307617
38,0.48,76,0.229003906,0.046142578,-0.985595703,18.9,1008.79,51.57899878,70.77118437,-524.7863248,5.493164063,-3.486633301,-6.660461426
39,0.4,76,0.185058594,0.009765625,-0.969238281,18.91,1008.81,84.56556777,69.12185592,-510.2422466,6.301879883,-2.555847168,-7.736206055
40,0.64,76,0.218994141,0.109130859,-0.876464844,18.92,1008.83,98.95970696,70.62124542,-505.5941392,12.87841797,1.197814941,-46.63848877
41,0.81,76,0.627197266,0.085205078,-0.797851563,18.94,1008.85,87.56434676,76.01904762,-502.1455433,-4.364013672,13.41247559,-11.84082031
42,0.4,76,-0.196289063,-0.075683594,-1.098876953,18.96,1008.86,75.71916972,64.47374847,-511.7416361,3.036499023,-0.57220459,-8.811950684
43,0.73,76,0.047851563,0.108886719,-0.965576172,18.97,1008.84,99.10964591,62.22466422,-483.7030525,3.219604492,-6.530761719,-13.671875
44,0.97,76,0.126220703,0.005615234,-0.998779297,18.98,1008.76,88.76385836,67.92234432,-494.04884,5.752563477,22.38464355,-14.39666748
45,0.4,76,-0.013183594,-0.085205078,-1.224609375,19.01,1008.83,64.47374847,60.27545788,-512.4913309,1.327514648,-4.15802002,-66.60461426
46,0.24,76,0.225585938,0.008300781,-1.047607422,19,1008.9,53.67814408,63.27423687,-511.7416361,4.707336426,-10.1776123,-12.0010376
47,0.16,76,0.133789063,-0.060791016,-1.031494141,19.02,1008.9,64.77362637,56.22710623,-500.6461538,13.67950439,-1.258850098,-11.56616211
48,0.32,76,-0.412841797,-0.118652344,-0.955810547,19.01,1008.79,69.27179487,57.57655678,-516.5396825,4.974365234,130.0125122,-0.114440918
49,0.4,76,0.122558594,0.016601563,-0.930175781,19.02,1008.83,48.13040293,54.27789988,-509.7924298,6.523132324,-12.57324219,-29.56390381
